indicador,estimado,muestra,precision,error_estandar,ic90,cv,denominador,muestra_dominio,porcentaje,error_estandar_pp,valor,universo_estimado,mediana,q1,q3,mujeres_estimadas_con_dato,promedio
poblacion,57844.0,17936.0,aproximada_no_oficial,2957.35,"[52979.16, 62708.84]",5.11,,,,,,,,,,,
mujeres,30346.0,9415.0,aproximada_no_oficial,1561.27,"[27777.72, 32914.28]",5.14,,,,,,,,,,,
hombres,27498.0,8521.0,aproximada_no_oficial,1419.66,"[25162.66, 29833.34]",5.16,,,,,,,,,,,
proporcion_mujeres,30346.0,9415.0,aproximada_no_oficial,,"[51.93, 52.99]",0.62,57844.0,17936.0,52.46,0.32,,,,,,,
imputados,452.0,142.0,aproximada_no_oficial,50.37,"[369.15, 534.85]",11.14,,,,,,,,,,,
edad_0-14,13267.0,4124.0,aproximada_no_oficial,,"[22.31, 23.57]",1.67,57844.0,17936.0,22.94,0.38,,,,,,,
edad_15-29,14380.0,4420.0,aproximada_no_oficial,,"[24.17, 25.56]",1.7,57844.0,17936.0,24.86,0.42,,,,,,,
edad_30-44,13795.0,4271.0,aproximada_no_oficial,,"[23.27, 24.43]",1.47,57844.0,17936.0,23.85,0.35,,,,,,,
edad_45-64,12037.0,3730.0,aproximada_no_oficial,,"[20.22, 21.41]",1.75,57844.0,17936.0,20.81,0.36,,,,,,,
edad_65+,4365.0,1391.0,aproximada_no_oficial,,"[7.11, 8.01]",3.61,57844.0,17936.0,7.55,0.27,,,,,,,
edad_0-4,3790.0,1179.0,aproximada_no_oficial,,"[6.23, 6.89]",3.03,57844.0,17936.0,6.55,0.2,,,,,,,
edad_5-9,4571.0,1420.0,aproximada_no_oficial,,"[7.53, 8.29]",2.92,57844.0,17936.0,7.9,0.23,,,,,,,
edad_10-14,4906.0,1525.0,aproximada_no_oficial,,"[8.14, 8.84]",2.5,57844.0,17936.0,8.48,0.21,,,,,,,
edad_15-19,5304.0,1632.0,aproximada_no_oficial,,"[8.78, 9.57]",2.61,57844.0,17936.0,9.17,0.24,,,,,,,
edad_20-24,4435.0,1363.0,aproximada_no_oficial,,"[7.26, 8.1]",3.32,57844.0,17936.0,7.67,0.25,,,,,,,
edad_25-29,4641.0,1425.0,aproximada_no_oficial,,"[7.67, 8.39]",2.7,57844.0,17936.0,8.02,0.22,,,,,,,
edad_30-34,4960.0,1535.0,aproximada_no_oficial,,"[8.19, 8.97]",2.76,57844.0,17936.0,8.57,0.24,,,,,,,
edad_35-39,4763.0,1475.0,aproximada_no_oficial,,"[7.84, 8.64]",2.94,57844.0,17936.0,8.23,0.24,,,,,,,
edad_40-44,4072.0,1261.0,aproximada_no_oficial,,"[6.72, 7.38]",2.83,57844.0,17936.0,7.04,0.2,,,,,,,
edad_45-49,3761.0,1152.0,aproximada_no_oficial,,"[6.19, 6.83]",2.99,57844.0,17936.0,6.5,0.19,,,,,,,
edad_50-54,3344.0,1034.0,aproximada_no_oficial,,"[5.47, 6.1]",3.3,57844.0,17936.0,5.78,0.19,,,,,,,
edad_55-59,2696.0,840.0,aproximada_no_oficial,,"[4.4, 4.94]",3.53,57844.0,17936.0,4.66,0.16,,,,,,,
edad_60-64,2236.0,704.0,aproximada_no_oficial,,"[3.59, 4.16]",4.4,57844.0,17936.0,3.87,0.17,,,,,,,
