caracteristica,grupo,variable,codigo,estimado,denominador,porcentaje,error_estandar_pp,ic90_porcentaje,cv_porcentaje
"Paredes de tabique, ladrillo, block, piedra, cantera, cemento o concreto",materiales,PAREDES,8,17419,18674,93.28,0.46,"[92.47, 94.01]",0.5
Techo de losa de concreto o viguetas con bovedilla,materiales,TECHOS,10,12117,18674,64.89,1.68,"[62.07, 67.6]",2.59
Techo de lámina metálica,materiales,TECHOS,03,4862,18674,26.04,1.48,"[23.67, 28.55]",5.7
Piso de cemento o firme,materiales,PISOS,2,12914,18674,69.15,2.1,"[65.6, 72.5]",3.03
"Piso de madera, mosaico u otro recubrimiento",materiales,PISOS,3,5154,18674,27.6,2.11,"[24.27, 31.19]",7.63
Piso de tierra,materiales,PISOS,1,606,18674,3.25,0.3,"[2.79, 3.77]",9.19
Vivienda de un cuarto,espacios,TOTCUART,1,4340,18674,23.24,1.24,"[21.27, 25.34]",5.32
Vivienda de un dormitorio,espacios,CUADORM,1,8349,18674,44.71,1.13,"[42.85, 46.58]",2.53
Agua entubada dentro de la vivienda,servicios,AGUA_ENTUBADA,1,12289,18674,65.81,2.24,"[62.04, 69.38]",3.4
Agua entubada solo en patio o terreno,servicios,AGUA_ENTUBADA,2,6022,18674,32.25,2.22,"[28.71, 36.01]",6.89
Sin agua entubada,servicios,AGUA_ENTUBADA,3,363,18674,1.94,0.42,"[1.36, 2.77]",21.72
Drenaje conectado a red pública,servicios,DRENAJE,1,5224,18674,27.97,2.83,"[23.56, 32.86]",10.13
Drenaje conectado a fosa o tanque séptico,servicios,DRENAJE,2,13212,18674,70.75,2.8,"[65.94, 75.14]",3.96
Sin drenaje,servicios,DRENAJE,5,196,18674,1.05,0.14,"[0.84, 1.32]",13.78
Con electricidad,servicios,ELECTRICIDAD,1,18534,18674,99.25,0.14,"[98.98, 99.45]",0.14
Con internet,equipamiento,INTERNET,7,12064,18674,64.6,1.23,"[62.56, 66.59]",1.9
Con refrigerador,equipamiento,REFRIGERADOR,1,16494,18674,88.33,0.68,"[87.16, 89.4]",0.77
Con lavadora,equipamiento,LAVADORA,3,13014,18674,69.69,1.0,"[68.02, 71.31]",1.43
Con aire acondicionado,equipamiento,AIRE_ACON,5,3190,18674,17.08,1.35,"[14.97, 19.43]",7.93
Habita la persona propietaria,tenencia,TENENCIA,1,11147,18674,59.69,1.25,"[57.62, 61.73]",2.09
Propiedad aún en pago,tenencia,TENENCIA,2,95,18674,0.51,0.13,"[0.33, 0.79]",26.5
Se paga renta,tenencia,TENENCIA,3,5291,18674,28.33,1.29,"[26.27, 30.5]",4.54
Prestada o de familiar,tenencia,TENENCIA,4,2037,18674,10.91,0.53,"[10.06, 11.82]",4.9
